Designator,Mid X,Mid Y,Rotation,Layer
R330,208.788,-53.34,90.0,bottom
R331,152.4,-65.659,180.0,bottom
R332,134.747,-65.786,0.0,bottom
R333,147.701,-67.31,0.0,bottom
R334,157.099,-64.008,0.0,bottom
R335,212.979,-69.596,180.0,bottom
R336,230.251,-51.308,0.0,top
R337,201.549,-60.96,270.0,bottom
R338,242.189,-51.435,0.0,bottom
R339,242.189,-54.102,0.0,bottom
R340,244.221,-58.166,270.0,bottom
R341,247.523,-58.166,270.0,bottom
R342,188.341,-32.512,0.0,bottom
R343,235.458,-64.262,90.0,bottom
R344,207.137,-57.023,0.0,bottom
R345,205.74,-60.198,0.0,bottom
R401,225.552,-32.893,90.0,bottom
R402,219.837,-32.893,90.0,bottom
R403,218.313,-27.94,180.0,top
R404,218.313,-22.86,0.0,top
RV301,140.589,-49.149,90.0,bottom
SW301,235.418,-60.96,90.0,top
SW302,235.4688,-31.75,90.0,top
U201,64.008,-44.958,270.0,bottom
U202,87.376,-48.133,270.0,bottom
U203,87.311,-28.956,270.0,bottom
U204,43.688,-60.452,270.0,bottom
U205,40.64,-45.72,90.0,bottom
U206,40.132,-31.115,90.0,bottom
U207,26.543,-51.816,180.0,bottom
U301,126.492,-48.387,0.0,bottom
U302,166.74745,-54.47335,0.0,top
U303,155.956,-55.499,0.0,bottom
U304,191.77,-55.048,180.0,bottom
U305,195.707,-35.814,90.0,bottom
U306,205.359,-47.625,90.0,bottom
U307,245.872,-63.627,90.0,bottom
